cal_per_gesture,cal_total_ms,participant,session,arm,n_cal,n_test,acc,f1_macro,f1_rest,f1_close,f1_open
12,7200,patient6,impaired_03,impaired,144,117,0.8034188034188035,0.7871672771672772,0.9743589743589743,0.78,0.6071428571428571
12,7200,patient6,impaired_04,impaired,144,117,0.8974358974358975,0.8949494949494948,1.0,0.8666666666666666,0.8181818181818181
12,7200,patient7,healthy_01,healthy,144,117,0.811965811965812,0.8092457187118717,0.7301587301587301,0.7608695652173912,0.9367088607594937
12,7200,patient7,healthy_02,healthy,144,117,0.8888888888888888,0.8857142857142858,1.0,0.8571428571428571,0.8
12,7200,patient7,impaired_01,impaired,144,117,0.8632478632478633,0.8599326599326601,1.0,0.8222222222222223,0.7575757575757577
12,7200,patient7,impaired_02,impaired,144,117,0.8717948717948718,0.8698412698412699,0.9743589743589743,0.8351648351648352,0.8
12,7200,patient7,impaired_03,impaired,144,117,0.811965811965812,0.8128673835125447,0.7419354838709677,0.78,0.9166666666666666
12,7200,patient7,impaired_04,impaired,144,117,0.8632478632478633,0.8540137679922625,0.962962962962963,0.8571428571428571,0.7419354838709677
12,7200,patient7,impaired_05,impaired,144,117,0.8888888888888888,0.888158327682452,0.8235294117647058,0.853932584269663,0.9870129870129869
12,7200,patient7,impaired_06,impaired,144,117,0.9914529914529915,0.9914515863882952,1.0,0.9870129870129869,0.9873417721518987
12,7200,patient7,impaired_07,impaired,144,117,0.9401709401709402,0.9396851698425849,1.0,0.9176470588235294,0.9014084507042254
12,7200,patient7,impaired_08,impaired,144,117,0.8803418803418803,0.8791102077687444,0.8611111111111112,0.8250000000000001,0.951219512195122
12,7200,patient7,impaired_09,impaired,144,117,0.8461538461538461,0.8448015873015874,0.761904761904762,0.8125000000000001,0.9600000000000001
12,7200,patient8,healthy_01,healthy,144,117,0.9487179487179487,0.9486842105263157,1.0,0.9249999999999999,0.9210526315789475
12,7200,patient8,impaired_01,impaired,144,117,0.9743589743589743,0.9745533868340885,0.9736842105263158,0.962962962962963,0.9870129870129869
12,7200,patient8,impaired_02,impaired,144,117,0.7777777777777778,0.75,1.0,0.7499999999999999,0.5
12,7200,patient9,healthy_01,healthy,144,117,0.9743589743589743,0.9741139240506329,0.9873417721518987,0.975,0.9600000000000001
12,7200,patient9,impaired_01,impaired,144,117,0.8717948717948718,0.8698024999504764,0.9873417721518987,0.8333333333333333,0.7887323943661971
12,7200,patient9,impaired_02,impaired,144,117,0.8974358974358975,0.8947947046377308,0.975,0.8735632183908045,0.835820895522388
12,7200,patient9,impaired_03,impaired,144,117,0.9230769230769231,0.9207374254049446,0.975,0.9176470588235294,0.8695652173913044
12,7200,patient9,impaired_04,impaired,144,117,0.8632478632478633,0.8566842202512935,0.8863636363636364,0.9024390243902439,0.7812500000000001
12,7200,patient9,impaired_05,impaired,144,117,0.7606837606837606,0.7252830188679246,1.0,0.7358490566037735,0.44000000000000006
12,7200,patient9,impaired_06,impaired,144,117,0.8888888888888888,0.884902666511862,0.962962962962963,0.8735632183908045,0.8181818181818181
12,7200,patient10,healthy_01,healthy,144,117,0.9401709401709402,0.9399240798811684,1.0,0.9156626506024097,0.9041095890410958
12,7200,patient10,healthy_02,healthy,144,117,0.8547008547008547,0.8505494505494505,1.0,0.8131868131868132,0.7384615384615384
12,7200,patient10,impaired_01,impaired,144,117,0.5555555555555556,0.5224948532044397,0.326530612244898,0.609375,0.631578947368421
12,7200,patient10,impaired_02,impaired,144,117,0.7777777777777778,0.7591885238944062,0.9870129870129869,0.7450980392156863,0.5454545454545454
12,7200,patient10,impaired_03,impaired,144,117,0.8290598290598291,0.8233695652173912,1.0,0.7826086956521738,0.6875
12,7200,patient10,impaired_04,impaired,144,117,0.6581196581196581,0.567793693809954,0.962962962962963,0.6428571428571428,0.09756097560975609
12,7200,patient10,impaired_05,impaired,144,117,0.7008547008547008,0.6356356356356357,1.0,0.6846846846846847,0.2222222222222222
12,7200,patient10,impaired_06,impaired,144,117,0.8034188034188035,0.8038443301601198,0.945945945945946,0.7578947368421053,0.7076923076923076
