participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,calib_protocol,n_dropped_onset,n_dropped_outlier,seed,fast
participant34,1112202,1200,25281,0.9803409675250188,0.9841925386263976,0.9911791463945255,0.9929133100301389,0.010838178869506776,202.166348695755,201.79170083999634,100.0,1200,random_stratified,0,0,42,True
participant35,1112202,1200,25281,0.9729045528262331,0.9733646378335051,0.9912582571891935,0.9914570357692641,0.018353704362960355,213.75614285469055,206.44232177734375,100.0,1200,random_stratified,0,0,42,True
participant36,1112202,1200,25281,0.9842569518610814,0.9868907962320077,0.9944226889759108,0.994783871945807,0.010165737114829376,210.61256074905396,203.64204001426697,100.0,1200,random_stratified,0,0,42,True
participant37,1112202,1200,25281,0.9667734662394684,0.9584573461496796,0.9880542700051422,0.9892819809722934,0.021280803765673872,201.72714710235596,204.07592296600342,100.0,1200,random_stratified,0,0,42,True
participant38,1112202,1200,25281,0.9731418852102369,0.9647551968352842,0.9881333807998102,0.9898572315279436,0.014991495589573245,202.69399499893188,197.1918330192566,100.0,1200,random_stratified,0,0,42,True
participant39,1112202,1200,25281,0.9305407222815553,0.9102323747591967,0.9665756892527986,0.9596184220930309,0.03603496697124331,199.48563313484192,206.31112408638,100.0,1200,random_stratified,0,0,42,True
participant4,1112202,1200,25281,0.8550294687710138,0.8656144951394347,0.9130572366599422,0.9117124234325326,0.05802776788892838,203.15415120124817,207.4072709083557,100.0,1200,random_stratified,0,0,42,True
participant40,1112202,1200,25281,0.9825956251730549,0.9779609992941397,0.9908627032158538,0.9891923267031334,0.008267078042798914,209.6248037815094,205.50223684310913,100.0,1200,random_stratified,0,0,42,True
participant41,1112202,1200,25281,0.9621850401487283,0.9702467786782872,0.9798663027570111,0.9842159959123333,0.017681262608282844,197.5642819404602,206.57873392105103,100.0,1200,random_stratified,0,0,42,True
participant42,1112202,1200,25281,0.9419326767137376,0.9374615904125042,0.9738934377595823,0.9728547026232061,0.031960761045844666,200.62313795089722,201.3151659965515,100.0,1200,random_stratified,0,0,42,True
participant43,1112202,1200,25281,0.9338633756576085,0.9495941185255804,0.972983663620901,0.9778485479314448,0.03912028796329259,203.99726796150208,201.04125595092773,100.0,1200,random_stratified,0,0,42,True
participant5,1112202,1200,25281,0.9308176100628931,0.9382205044337181,0.9638463668367548,0.9641806673494687,0.033028756773861745,193.84534788131714,191.50271105766296,100.0,1200,random_stratified,0,0,42,True
participant6,1112202,1200,25281,0.8949013092836517,0.9039901382144319,0.9292749495668684,0.9265571652302688,0.034373640283216655,190.2454752922058,191.55096197128296,100.0,1200,random_stratified,0,0,42,True
participant7,1112202,1200,25281,0.9848898382184249,0.9802719530107463,0.9901507060638424,0.986711757182745,0.005260867845417461,188.79826617240906,188.5654308795929,100.0,1200,random_stratified,0,0,42,True
participant8,1112202,1200,25281,0.9146790079506348,0.8986405688426142,0.9488944266445156,0.9250038529387911,0.034215418693880784,191.95562386512756,190.37779879570007,100.0,1200,random_stratified,0,0,42,True
participant9,1112202,1200,25281,0.9481033186978364,0.9468520056016988,0.9749614334875993,0.9703645223505689,0.026858114789762966,191.29829287528992,192.7350311279297,100.0,1200,random_stratified,0,0,42,True
